11:50:05  Acquired tunnel connection to device.
1012    /private/var/containers/Bundle/Application/09C54349-D13C-4F0D-A40F-F15AD5B08E0A/Microsoft Authenticator.app/Microsoft Authenticator
1032    /System/Library/PrivateFrameworks/SiriPrivateLearningAnalytics.framework/PlugIns/SiriUserFeedbackLearningPlatformPlugin.appex/SiriUserFeedbackLearningPlatformPlugin
1034    /System/Library/PrivateFrameworks/SiriPrivateLearningAnalytics.framework/PlugIns/SiriUserFeedbackLearningUniversalSuggestionsPlugin.appex/SiriUserFeedbackLearningUniversalSuggestionsPlugin
1177    /usr/sbin/BTAvrcp
1207    /Applications/BusinessActionSheet.app/BusinessActionSheet
1570    /System/Library/PrivateFrameworks/AppStoreDaemon.framework/Support/appstored
1962    /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsagent
1963    /System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSODaemon
1965    /System/Library/PrivateFrameworks/NanoTimeKit.framework/nanotimekitcompaniond
1967    /System/Library/PrivateFrameworks/MapsSupport.framework/mapspushd
1968    /System/Library/PrivateFrameworks/SyncedDefaults.framework/Support/syncdefaultsd
2007    /Applications/Family.app/Family
2065    /usr/libexec/gamecontrollerd
2066    /usr/libexec/profiled
2067    /System/Library/Frameworks/MediaAccessibility.framework/XPCServices/com.apple.accessibility.mediaaccessibilityd.xpc/com.apple.accessibility.mediaaccessibilityd
2074    /System/Library/PrivateFrameworks/UserNotificationsCore.framework/Support/usernotificationsd
2076    /usr/libexec/findmylocated
2077    /usr/libexec/containermanagerd_system
2078    /usr/libexec/deviceaccessd
2080    /System/Library/PrivateFrameworks/ReplicatorCore.framework/Support/replicatord
2083    /usr/libexec/inputanalyticsd
2089    /usr/libexec/applekeystored
2094    /System/Library/Frameworks/CryptoTokenKit.framework/ctkd
2095    /usr/libexec/pkd
2097    /System/Library/PrivateFrameworks/CalendarDaemon.framework/Support/calaccessd
2103    /System/Library/PrivateFrameworks/CoreFollowUp.framework/followupd
2106    /System/Library/PrivateFrameworks/iCloudNotification.framework/ind
2110    /usr/libexec/mobileassetd
2313    /System/Library/PrivateFrameworks/DataAccess.framework/Support/dataaccessd
2471    /System/Library/PrivateFrameworks/IntelligencePlatformCore.framework/intelligenceplatformd
3206    /usr/libexec/momentsd
3801    /System/Library/Frameworks/GSS.framework/Helpers/GSSCred
4461    /System/Library/PrivateFrameworks/AmbientUI.framework/PlugIns/InfographPoster.appex/InfographPoster
5676    /System/Library/PrivateFrameworks/CloudPhotoLibrary.framework/Support/cloudphotod
5900    /System/Library/PrivateFrameworks/IMTransferServices.framework/IMTransferAgent.app/IMTransferAgent
6282    /usr/libexec/containermanagerd
6524    /Applications/SafariViewService.app/SafariViewService
11155   /usr/sbin/appleh16camerad
11476   /usr/libexec/linkd
11478   /usr/libexec/appprotectiond
11480   /usr/libexec/dmd
11499   /usr/libexec/MobileGestaltHelper
11589   /System/Library/PrivateFrameworks/DoNotDisturbServer.framework/Support/donotdisturbd
11611   /System/Library/PrivateFrameworks/CoreAccessories.framework/Support/accessoryd
11625   /usr/libexec/wcd
12444   /System/Library/PrivateFrameworks/DragUI.framework/Support/druid
12467   /usr/libexec/PowerUIAgent
12820   /usr/libexec/avconferenced
12826   /usr/libexec/rtcreportingd
12844   /usr/libexec/powerexperienced
13128   /usr/libexec/usermanagerd
13203   /usr/libexec/promotedcontentd
13439   /System/Library/PrivateFrameworks/iTunesStore.framework/Support/itunesstored
13625   /System/Library/PrivateFrameworks/IntelligenceFlowContextRuntime.framework/intelligencecontextd
13628   /usr/libexec/networkserviceproxy
13770   /System/Library/PrivateFrameworks/Pasteboard.framework/Support/pasted
13828   /private/preboot/Cryptexes/App/usr/libexec/passwordbreachd
15083   /System/Library/Frameworks/ManagedAppDistribution.framework/Support/managedappdistributiond
16170   /System/Library/PrivateFrameworks/VisualVoicemail.framework/vmd
16172   /System/Library/PrivateFrameworks/PassKitCore.framework/passd
16190   /System/Library/PrivateFrameworks/NeighborhoodActivityConduit.framework/XPCServices/com.apple.NeighborhoodActivityConduitService.xpc/com.apple.NeighborhoodActivityConduitService
16199   /System/Library/PrivateFrameworks/CallIntelligence.framework/callintelligenced
16206   /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistorySyncHelper
16229   /Applications/ReplayKitAngel.app/ReplayKitAngel
16236   /usr/libexec/ospredictiond
16262   /usr/libexec/misd
16500   /usr/libexec/transparencyd
16598   /System/Library/PrivateFrameworks/HealthPluginHost.framework/healthappd
16640   /Applications/SleepLockScreen.app/SleepLockScreen
16837   /System/Library/PrivateFrameworks/MapsSupport.framework/navd
16902   /usr/libexec/asd
17299   /System/Library/PrivateFrameworks/SecureMessaging.framework/SecureMessagingAgent
17779   /usr/libexec/announced
17981   /Applications/Siri.app/Siri
17985   /System/Library/CoreServices/iconservicesagent
18170   /Applications/MediaRemoteUI.app/MediaRemoteUI
18171   /System/Library/Frameworks/Intents.framework/XPCServices/intents_helper.xpc/intents_helper
18177   /System/Library/Frameworks/CallKit.framework/XPCServices/com.apple.CallKit.CallDirectory.xpc/com.apple.CallKit.CallDirectory
18647   /usr/libexec/centaurid
18663   /usr/libexec/icloudmailagent
18699   /usr/libexec/adid
18706   /usr/libexec/anomalydetectiond
18707   /System/Library/PrivateFrameworks/SOS.framework/sosd
18713   /usr/libexec/keychainsharingmessagingd
18744   /System/Library/PrivateFrameworks/HomeKitDaemon.framework/Support/homed
18746   /System/Library/PrivateFrameworks/CoreThreadCommissionerService.framework/CoreThreadCommissionerServiced
18772   /System/Library/PrivateFrameworks/iCloudDriveCore.framework/bird
18787   /System/Library/PrivateFrameworks/WiFiPolicy.framework/XPCServices/ThreeBarsXPCService.xpc/ThreeBarsXPCService
18788   /System/Library/PrivateFrameworks/WiFiPolicy.framework/XPCServices/WiFiCloudAssetsXPCService.xpc/WiFiCloudAssetsXPCService
18824   /usr/libexec/remotepairingdeviced
18825   /usr/libexec/lockdownd
18927   /usr/libexec/duetexpertd
